pair_id,cluster_id,genre,direction,flag_ko_nfc_changed,flag_ko_empty,flag_ko_control_chars,n_chars_ko,n_bytes_utf8_ko,flag_en_nfc_changed,flag_en_empty,flag_en_control_chars,n_chars_en,n_bytes_utf8_en,flag_ko_no_hangul,flag_ko_equals_en,flag_en_has_hangul,flag_duplicate_pair_id,flag_missing_meta,bits_ko,bits_en,n_targets_ko,n_targets_en,est_tokens_ko,est_tokens_en,n_chunks_ko,n_chunks_en,tokens_ko_baseline,tokens_en_baseline,tokens_ko_koreanfit,tokens_en_koreanfit
globalvoices-v2018q4-d0002-a0001,globalvoices-v2018q4-doc-9e95211d12795791,news,unknown,False,False,False,20,50,False,False,False,85,86,False,False,False,False,False,102.48855024576189,129.10399532318115,18,14,18,14,1,1,15,14,10,38
globalvoices-v2018q4-d0002-a0002,globalvoices-v2018q4-doc-9e95211d12795791,news,unknown,False,False,False,68,164,False,False,False,171,171,False,False,False,False,False,164.8005173257552,155.48344873078167,50,37,50,37,1,1,37,35,33,78
globalvoices-v2018q4-d0002-a0003,globalvoices-v2018q4-doc-9e95211d12795791,news,unknown,False,False,False,63,143,False,False,False,158,158,False,False,False,False,False,171.74470935110003,136.5025039538741,46,35,46,35,1,1,38,32,33,80
globalvoices-v2018q4-d0002-a0004,globalvoices-v2018q4-doc-9e95211d12795791,news,unknown,False,False,False,58,146,False,False,False,145,145,False,False,False,False,False,202.65914624533616,126.37436287477612,41,24,41,24,1,1,35,24,26,61
globalvoices-v2018q4-d0002-a0005,globalvoices-v2018q4-doc-9e95211d12795791,news,unknown,False,False,False,126,292,False,False,False,252,252,False,False,False,False,False,317.201658440521,222.92108165472743,76,52,76,52,1,1,62,51,64,121
globalvoices-v2018q4-d0002-a0006,globalvoices-v2018q4-doc-9e95211d12795791,news,unknown,False,False,False,33,79,False,False,False,75,75,False,False,False,False,False,155.82472079992294,125.64347080141306,22,18,22,18,1,1,20,16,18,37
globalvoices-v2018q4-d0003-a0001,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,37,89,False,False,False,228,228,False,False,False,False,False,141.12873709201813,150.50464341882616,29,52,29,52,1,1,24,49,18,118
globalvoices-v2018q4-d0003-a0002,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,33,83,False,False,False,91,91,False,False,False,False,False,139.34664357453585,80.70541343837976,29,21,29,21,1,1,22,19,17,45
globalvoices-v2018q4-d0003-a0003,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,66,168,False,False,False,321,321,False,False,False,False,False,226.69163689896232,348.91349193034694,51,62,51,62,1,1,41,61,36,160
globalvoices-v2018q4-d0003-a0004,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,28,70,False,False,False,75,75,False,False,False,False,False,141.8286543637514,81.59849252272397,18,16,18,16,1,1,17,16,15,35
globalvoices-v2018q4-d0003-a0005,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,112,240,False,False,False,529,529,False,False,False,False,False,369.5639644509647,388.1094547128305,66,101,66,101,1,1,59,94,57,249
globalvoices-v2018q4-d0003-a0006,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,32,80,False,False,False,91,91,False,False,False,False,False,122.53200011700392,71.44656543061137,23,16,23,16,1,1,19,15,15,44
globalvoices-v2018q4-d0003-a0007,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,64,156,False,False,False,254,254,False,False,False,False,False,127.29979570955038,215.23936736490575,45,51,45,51,1,1,40,49,27,131
globalvoices-v2018q4-d0003-a0008,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,57,139,False,False,False,297,297,False,False,False,False,False,129.86664989730343,207.6158075258136,45,49,45,49,1,1,34,49,28,143
globalvoices-v2018q4-d0003-a0009,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,37,79,False,False,False,265,265,False,False,False,False,False,125.4568838700652,200.1591425545048,28,47,28,47,1,1,25,47,19,122
globalvoices-v2018q4-d0003-a0010,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,52,112,False,False,False,284,286,False,False,False,False,False,246.9534180369228,314.04386916640215,39,53,39,53,1,1,36,51,28,139
globalvoices-v2018q4-d0003-a0011,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,58,142,False,False,False,377,377,False,False,False,False,False,173.52857965280418,361.1846656575799,37,69,37,69,1,1,30,70,27,184
globalvoices-v2018q4-d0003-a0012,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,61,147,False,False,False,188,188,False,False,False,False,False,186.9240210591815,214.6723327934742,44,33,44,33,1,1,39,33,28,95
globalvoices-v2018q4-d0003-a0013,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,17,43,False,False,False,113,113,False,False,False,False,False,80.8387097120285,97.1952463388443,10,18,10,18,1,1,9,18,11,61
globalvoices-v2018q4-d0003-a0014,globalvoices-v2018q4-doc-024d52204dcbc4e5,news,unknown,False,False,False,93,199,False,False,False,394,394,False,False,False,False,False,282.8393469743896,376.74830228090286,61,71,61,71,1,1,48,71,53,182
globalvoices-v2018q4-d0005-a0001,globalvoices-v2018q4-doc-227ff28eb1b7832d,news,unknown,False,False,False,26,60,False,False,False,63,64,False,False,False,False,False,158.3445291092503,110.76644091308115,23,14,23,14,1,1,20,13,15,30
globalvoices-v2018q4-d0005-a0002,globalvoices-v2018q4-doc-227ff28eb1b7832d,news,unknown,False,False,False,134,249,False,False,False,214,215,False,False,False,False,False,384.38495821402466,205.5588498902507,100,52,100,52,1,1,85,51,85,104
globalvoices-v2018q4-d0005-a0003,globalvoices-v2018q4-doc-227ff28eb1b7832d,news,unknown,False,False,False,50,122,False,False,False,127,127,False,False,False,False,False,145.77049053506926,222.98572459816933,40,32,40,32,1,1,30,28,27,63
globalvoices-v2018q4-d0005-a0004,globalvoices-v2018q4-doc-227ff28eb1b7832d,news,unknown,False,False,False,135,136,False,False,False,158,159,True,False,False,False,False,124.96611771127208,143.7133653043711,34,37,34,37,1,1,33,36,78,89
globalvoices-v2018q4-d0005-a0005,globalvoices-v2018q4-doc-227ff28eb1b7832d,news,unknown,False,False,False,175,389,False,False,False,291,297,False,False,False,False,False,542.7673182541221,310.4282002588734,121,61,121,61,1,1,99,60,88,148
globalvoices-v2018q4-d0005-a0006,globalvoices-v2018q4-doc-227ff28eb1b7832d,news,unknown,False,False,False,33,83,False,False,False,69,69,False,False,False,False,False,130.05574880330823,110.60495334863664,23,16,23,16,1,1,21,15,19,32
globalvoices-v2018q4-d0006-a0001,globalvoices-v2018q4-doc-d1557879b75cce70,news,unknown,False,False,False,16,40,False,False,False,48,49,False,False,False,False,False,113.95951832830906,106.4215384721756,17,12,17,12,1,1,14,12,10,24
globalvoices-v2018q4-d0006-a0002,globalvoices-v2018q4-doc-d1557879b75cce70,news,unknown,False,False,False,54,130,False,False,False,90,96,False,False,False,False,False,179.52195610199124,95.8440319156507,44,22,44,22,1,1,36,22,32,49
globalvoices-v2018q4-d0006-a0003,globalvoices-v2018q4-doc-d1557879b75cce70,news,unknown,False,False,False,40,90,False,False,False,111,111,False,False,False,False,False,136.5573674030602,98.79155431501567,29,25,29,25,1,1,25,25,20,47
globalvoices-v2018q4-d0006-a0004,globalvoices-v2018q4-doc-d1557879b75cce70,news,unknown,False,False,False,22,52,False,False,False,128,128,False,False,False,False,False,88.55380362272263,108.94565586210229,16,30,16,30,1,1,13,29,12,62
globalvoices-v2018q4-d0006-a0005,globalvoices-v2018q4-doc-d1557879b75cce70,news,unknown,False,False,False,79,195,False,False,False,184,184,False,False,False,False,False,188.51382933801503,210.58357954025269,54,34,54,34,1,1,50,34,41,87
globalvoices-v2018q4-d0006-a0006,globalvoices-v2018q4-doc-d1557879b75cce70,news,unknown,False,False,False,96,210,False,False,False,208,209,False,False,False,False,False,322.6377696543932,256.65890753269196,58,40,58,40,1,1,54,40,49,100
