pair_id,cluster_id,genre,direction,flag_ko_nfc_changed,flag_ko_empty,flag_ko_control_chars,n_chars_ko,n_bytes_utf8_ko,flag_en_nfc_changed,flag_en_empty,flag_en_control_chars,n_chars_en,n_bytes_utf8_en,flag_ko_no_hangul,flag_en_has_hangul,flag_duplicate_pair_id,flag_missing_meta,bits_ko,bits_en,n_targets_ko,n_targets_en,est_tokens_ko,est_tokens_en,n_chunks_ko,n_chunks_en,tokens_ko_baseline,tokens_en_baseline,tokens_ko_koreanfit,tokens_en_koreanfit
globalvoices-v2018q4-d0001-a0001,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,23,57,False,False,False,63,64,False,False,False,False,89.12160571082495,109.64760971069336,18,12,18,12,1,1,15,12,8,30
globalvoices-v2018q4-d0001-a0002,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,46,104,False,False,False,85,85,False,False,False,False,127.9609974778723,70.02197896063444,34,21,34,21,1,1,27,18,20,39
globalvoices-v2018q4-d0001-a0003,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,88,210,False,False,False,177,177,False,False,False,False,316.64159812033176,162.8792914263904,67,39,67,39,1,1,55,37,42,87
globalvoices-v2018q4-d0001-a0004,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,182,420,False,False,False,260,262,False,False,False,False,379.4344442260626,259.0988948410377,144,60,144,60,1,1,118,56,83,137
globalvoices-v2018q4-d0001-a0005,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,122,276,False,False,False,127,127,False,False,False,False,301.80855228891596,117.5503688894969,89,31,89,31,1,1,68,27,58,60
globalvoices-v2018q4-d0001-a0006,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,37,75,False,False,False,126,126,False,False,False,False,140.15875132381916,159.3493792731315,27,28,27,28,1,1,25,25,19,66
globalvoices-v2018q4-d0001-a0007,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,61,139,False,False,False,225,225,False,False,False,False,171.56328159026452,217.6060130186379,36,45,36,45,1,1,31,44,30,101
globalvoices-v2018q4-d0001-a0008,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,51,113,False,False,False,107,107,False,False,False,False,103.84260300872847,67.37425134563819,35,27,35,27,1,1,29,24,24,48
globalvoices-v2018q4-d0001-a0009,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,113,283,False,False,False,236,236,False,False,False,False,332.4449408921646,247.95714050158855,83,42,83,42,1,1,67,42,54,114
globalvoices-v2018q4-d0001-a0010,globalvoices-v2018q4-doc-5de2aa4b26dcb9cf,news,unknown,False,False,False,126,292,False,False,False,261,261,False,False,False,False,380.0674313305644,359.6157583221793,87,55,87,55,1,1,69,55,65,131
