cluster_id,R_eta,n_pairs,tokens_en
globalvoices-v2018q4-doc-0091ab0b75875e2f,0.9596626772836463,24,836.0
globalvoices-v2018q4-doc-015f90b224c9ddd9,1.0584606972263713,18,411.0
globalvoices-v2018q4-doc-0197370d94fb4062,0.9547074807919543,14,272.0
globalvoices-v2018q4-doc-01def724238ba6ad,1.242161921411252,4,182.0
globalvoices-v2018q4-doc-0219d7d28a2af9a3,0.8995389470615616,2,63.0
globalvoices-v2018q4-doc-024d52204dcbc4e5,1.163233084049201,14,642.0
globalvoices-v2018q4-doc-0327ccc32db5bfeb,1.0380024079644907,6,157.0
globalvoices-v2018q4-doc-032ef90ec4d4910d,1.0101721836299014,32,1005.0
globalvoices-v2018q4-doc-03d4a7a84210045a,0.9263167299882302,18,423.0
globalvoices-v2018q4-doc-0526a07467c7e5b6,0.8342361446029929,5,175.0
globalvoices-v2018q4-doc-05bc135489cfce4b,1.0724549801921441,6,162.0
globalvoices-v2018q4-doc-05d78efd4dc68230,0.8015212261796942,4,118.0
globalvoices-v2018q4-doc-071f9f82d858791e,1.0756607731231649,10,306.0
globalvoices-v2018q4-doc-07f4f671fe731181,0.9999131821563885,37,980.0
globalvoices-v2018q4-doc-095d92d6934b2ca5,0.9100366523167165,10,176.0
globalvoices-v2018q4-doc-09afdd8949a6b820,0.8638760512243192,7,197.0
globalvoices-v2018q4-doc-09d703c1852378a6,0.9045504008593973,34,656.0
globalvoices-v2018q4-doc-0a3df9253dce97ac,0.9486069684998716,12,416.0
globalvoices-v2018q4-doc-0a7889807e747635,0.9169636148335012,103,2022.0
globalvoices-v2018q4-doc-0a8ae7ccb43ff6ac,0.9935944353381929,18,657.0
globalvoices-v2018q4-doc-0c08d5bc9aafcb64,0.9422240314053226,5,162.0
globalvoices-v2018q4-doc-0c33cad69b2d1f18,0.9286270640977855,82,1912.0
globalvoices-v2018q4-doc-0c46e4da352e2e78,0.8092434203206149,7,194.0
globalvoices-v2018q4-doc-0c92f600f0530f41,1.0179923782853064,3,57.0
globalvoices-v2018q4-doc-0c9dad776739f1ab,1.0021257986875731,10,368.0
globalvoices-v2018q4-doc-0cf51c0e4ec1305c,0.9246599263918377,44,990.0
globalvoices-v2018q4-doc-0cf98f625585a6be,0.9708789352739601,4,103.0
globalvoices-v2018q4-doc-0d664da5f440184c,0.9262390313618233,44,1184.0
globalvoices-v2018q4-doc-0d6da9c9ad8fa042,0.8634161366458041,8,239.0
globalvoices-v2018q4-doc-0dd80bdd8a46c37e,0.9254609635449393,30,557.0
globalvoices-v2018q4-doc-0e6620de56d04d7e,1.0331862092039998,19,466.0
globalvoices-v2018q4-doc-0f02d272d18e2ee9,0.9796228266945001,60,1297.0
globalvoices-v2018q4-doc-0f24bb3e18d3bb7c,0.9994501711706933,46,941.0
globalvoices-v2018q4-doc-0f9af46035f206b6,0.9622063542386063,15,442.0
globalvoices-v2018q4-doc-0fc5b1ba0a67b7db,0.8422281480254326,19,535.0
globalvoices-v2018q4-doc-0ff99f8b7b529a51,0.9578968402899438,30,898.0
globalvoices-v2018q4-doc-1092ccda8e30428b,0.9551694882837055,23,778.0
globalvoices-v2018q4-doc-10b451bedbf6ca57,0.8761141666682685,4,97.0
globalvoices-v2018q4-doc-11fac11cae2dfde2,0.974067032397116,16,458.0
globalvoices-v2018q4-doc-12b1dda2335d9b90,0.885349573118932,30,918.0
globalvoices-v2018q4-doc-12b332e67cf38da9,0.8705672853194403,44,1104.0
globalvoices-v2018q4-doc-12f52eaaaf937951,0.864724637195941,3,131.0
globalvoices-v2018q4-doc-12ff9983c6f31954,0.8994557758914773,28,580.0
globalvoices-v2018q4-doc-135dddc1a1aca1f1,0.9795965878243967,19,430.0
globalvoices-v2018q4-doc-1457afea7d852cdf,0.9192620122916513,31,724.0
globalvoices-v2018q4-doc-148b7126a4158f50,1.0584394239682209,25,657.0
globalvoices-v2018q4-doc-1509e65d39b333b2,1.0765545949734694,7,144.0
globalvoices-v2018q4-doc-155ed6391af03551,0.9174671061491507,30,586.0
globalvoices-v2018q4-doc-162fc01f0366e9e0,0.7467454964778831,4,118.0
globalvoices-v2018q4-doc-16e53bfdf986e8da,0.9624358730726639,54,1288.0
globalvoices-v2018q4-doc-178896f13f5a9f9d,1.001914283325521,27,716.0
globalvoices-v2018q4-doc-17ba005f504b8255,0.9746792399615454,5,149.0
globalvoices-v2018q4-doc-18684b2148332949,1.0057215502307573,42,1158.0
globalvoices-v2018q4-doc-18d03fdcfa9d4dd2,0.9515582097407107,23,561.0
globalvoices-v2018q4-doc-1975dbebc41f871a,0.9326614020399027,12,336.0
globalvoices-v2018q4-doc-19e31592bd78e418,1.049665171816129,21,544.0
globalvoices-v2018q4-doc-1a6c6af6a035ee68,0.7730340009304276,5,167.0
globalvoices-v2018q4-doc-1a96a048b82a5653,0.9961198579367961,113,2047.0
globalvoices-v2018q4-doc-1b31f32e71a1e7eb,0.8943770263172051,51,1142.0
globalvoices-v2018q4-doc-1b45b539fe75d81a,1.1074187009878793,17,435.0
globalvoices-v2018q4-doc-1b99a780154b3245,0.9743003068959739,12,348.0
globalvoices-v2018q4-doc-1bc54d34f7556d00,0.9519504702158962,53,1148.0
globalvoices-v2018q4-doc-1cb412b1db86faba,0.8653285879025534,4,103.0
globalvoices-v2018q4-doc-1ea32f7ef949355a,0.9694651086316339,5,141.0
globalvoices-v2018q4-doc-1f2281e39d245399,1.0720574309275,8,178.0
globalvoices-v2018q4-doc-2113c40a3b064752,0.8849546535055387,1,21.0
globalvoices-v2018q4-doc-21499abf81da6519,0.9249861081851645,17,444.0
globalvoices-v2018q4-doc-227ff28eb1b7832d,0.9283475238842707,5,167.0
globalvoices-v2018q4-doc-22aff976f035def7,1.0753998775636782,13,459.0
globalvoices-v2018q4-doc-23ad7790721058b7,0.9017967848797213,7,145.0
globalvoices-v2018q4-doc-23df0a07972e8ad9,0.9367140291672954,31,731.0
globalvoices-v2018q4-doc-24b93095069bbb09,0.922414242611103,46,888.0
globalvoices-v2018q4-doc-250d280f48ebe73d,0.9828730765327902,16,351.0
globalvoices-v2018q4-doc-255b61bbc37269ba,1.2034817643502256,3,76.0
globalvoices-v2018q4-doc-265a6088faab59e6,1.0680723330108857,7,198.0
globalvoices-v2018q4-doc-268469bda2135bc8,0.9120872015411692,33,819.0
globalvoices-v2018q4-doc-27e4affdaf681caa,1.0133326848453927,16,489.0
globalvoices-v2018q4-doc-2817406b6593441f,1.0506579493673194,27,630.0
globalvoices-v2018q4-doc-293e6a09962d864b,0.9097055344008323,38,918.0
globalvoices-v2018q4-doc-2aa75de71dae82d2,0.9752900751346185,19,770.0
globalvoices-v2018q4-doc-2acde2b0edf91595,0.9381716619925405,50,1005.0
globalvoices-v2018q4-doc-2b9b4da11dff0990,0.7811588191850418,3,110.0
