split,held_R_eta,held_R_T,held_C_K,pilot_R_eta,R_eta_upper95,R_T_lower95,C_K_upper95,pass_R_eta,pass_R_T,pass_C_K,pass_all
0,0.9441659368422263,1.3874727123885755,0.8672714310298203,0.9426452170964931,0.9509928305378544,1.3730290208988547,0.8726293173334195,False,True,True,False
1,0.9391932141046582,1.3916537831280653,0.8684405425647,0.9637477003003815,0.946028019122506,1.375926261414646,0.8741307002035317,True,True,True,True
2,0.9447626306799162,1.393026867344675,0.8668055287796619,0.9403242302584411,0.9519835777346841,1.378964552007952,0.8719112611503835,False,True,True,False
3,0.9414957866207683,1.3922678118335192,0.8645500361166693,0.9540912178007512,0.9487527024359884,1.3768687753123083,0.8698302642849999,True,True,True,True
4,0.945794350717975,1.3856875160036313,0.8676289629626519,0.9363711421328287,0.9532527627224686,1.372351756327734,0.8731960042939466,False,True,True,False
5,0.9411816064228146,1.3956245515772907,0.865565519500172,0.9552394274258296,0.9481807972114815,1.381682214484025,0.8703222877688208,True,True,True,True
6,0.9408985730061608,1.393726265776493,0.8662423591052596,0.9559440691161198,0.9478112656831849,1.3793027059414193,0.8712408923430319,True,True,True,True
7,0.9436026760147358,1.380360418061661,0.8677732315349896,0.9450086778740057,0.9509135036174257,1.365471358966195,0.8733421145288094,False,True,True,False
8,0.9459288424143406,1.3817530271941738,0.8665503798146104,0.9355846546026354,0.9535480237154742,1.3665683055146385,0.871824629623483,False,True,True,False
9,0.9421971336566555,1.389530056945078,0.8658633051146978,0.9506374144694888,0.9496581295040702,1.3747587407319584,0.8710320539425406,True,True,True,True
10,0.9412592390421525,1.392534879081938,0.8651327985439348,0.954216804210179,0.9483616721674157,1.3772550478225412,0.8703497204791695,True,True,True,True
11,0.944061159038366,1.3843901300822492,0.8650927416296571,0.9432618995799158,0.9520179696229469,1.3681940255157004,0.8698438081809059,False,True,True,False
12,0.944909833333598,1.3862472816237768,0.8666056590053027,0.9392243280573956,0.9519612512895426,1.3705007974364776,0.8717994653847887,False,True,True,False
13,0.9427879590455545,1.3860268212296851,0.8677643258046926,0.9489647172546926,0.9500108861525592,1.3700076714029665,0.8729360055820883,False,True,True,False
14,0.9441377259046141,1.3833048831677628,0.8677183385795552,0.9428434448528148,0.951162705375578,1.3674135586589298,0.8731564660824088,False,True,True,False
15,0.9438016155416961,1.3889385239604615,0.8694248465629276,0.944291388655253,0.9512113385564465,1.373081983482436,0.874953120315722,False,True,True,False
16,0.9452564568378721,1.3838487913496929,0.8652324441484631,0.9380164720438069,0.9529188499962232,1.3677333429479868,0.8703720570627576,False,True,True,False
17,0.9465908919735039,1.3879177631770043,0.8648414478971337,0.9333586072321987,0.9539851823046939,1.3731411498453605,0.8700103709079058,False,True,True,False
18,0.9443847154138116,1.3904457852498389,0.8688675151561112,0.9421135382509758,0.9515459893810022,1.3752828086885094,0.8742543606925646,False,True,True,False
19,0.9445658188417946,1.3804619041424737,0.8671917831688597,0.941521370037927,0.9517103999434416,1.3643485816011458,0.8724273153847313,False,True,True,False
20,0.9451341371319536,1.3873735513303675,0.8650213023214016,0.9382619131072218,0.9521185158798723,1.3724457908755272,0.870134897823478,False,True,True,False
21,0.945187007568039,1.3841409895135584,0.8673216520650814,0.9385478543019639,0.9518828867470513,1.3686302649991469,0.8728660290572111,False,True,True,False
22,0.9432707958988537,1.3794320196372563,0.8678126119891749,0.9468434641151986,0.9506564649054267,1.3642532530518323,0.873319704938581,False,True,True,False
23,0.9469256730070581,1.3893402940959974,0.8670782899294942,0.9304821332864603,0.9537005605072947,1.3752226580776077,0.8717602722523942,False,True,True,False
24,0.9446342461520667,1.3882962633198066,0.8643367510545054,0.9408349445024887,0.9519104913658564,1.374004252572657,0.8693655305927191,False,True,True,False
